00:00:00.000.002.500 M >System.Windows.MenuItem.SetText(const String<char>&, MenuControl*)
00:00:00.000.004.900 M  >System.Windows.MenuItem.SetAccessKey()
00:00:00.000.009.800 M   >System.Unicode.CharacterTable.Instance()
00:00:00.000.010.300 M   <System.Unicode.CharacterTable.Instance()
00:00:00.000.010.800 M   >System.Unicode.CharacterTable.GetCharacterInfo(uchar)
00:00:00.000.011.900 M    >System.Unicode.CharacterInfoPage.operator[](long) const
00:00:00.000.012.400 M    <System.Unicode.CharacterInfoPage.operator[](long) const
00:00:00.000.013.300 M   <System.Unicode.CharacterTable.GetCharacterInfo(uchar)
00:00:00.000.013.600 M   >System.Unicode.CharacterInfo.Upper() const
00:00:00.000.013.700 M   <System.Unicode.CharacterInfo.Upper() const
00:00:00.000.014.600 M  <System.Windows.MenuItem.SetAccessKey()
00:00:00.000.015.100 M  >System.Windows.MenuBar.InvalidateMenu()
00:00:00.000.015.300 M   >System.Windows.Control.Invalidate()
00:00:00.000.026.600 M   <System.Windows.Control.Invalidate()
00:00:00.000.027.500 M   >System.Windows.Point.Point()
00:00:00.000.027.600 M   <System.Windows.Point.Point()
00:00:00.000.027.600 M   >System.Windows.Size.Size()
00:00:00.000.027.700 M   <System.Windows.Size.Size()
00:00:00.000.027.800 M   >System.Windows.Rect.Rect()
00:00:00.000.027.800 M   <System.Windows.Rect.Rect()
00:00:00.000.028.900 M   >System.Windows.Container.FirstChild() const
00:00:00.000.029.000 M   <System.Windows.Container.FirstChild() const
00:00:00.000.029.400 M   >System.Windows.MenuItem.GetState() const
00:00:00.000.029.500 M   <System.Windows.MenuItem.GetState() const
00:00:00.000.029.600 M   >System.Windows.Component.NextSibling() const
00:00:00.000.029.600 M   <System.Windows.Component.NextSibling() const
00:00:00.000.029.800 M   >System.Windows.MenuItem.GetState() const
00:00:00.000.029.900 M   <System.Windows.MenuItem.GetState() const
00:00:00.000.030.000 M   >System.Windows.Component.NextSibling() const
00:00:00.000.038.200 M   <System.Windows.Component.NextSibling() const
00:00:00.000.038.700 M   >System.Windows.MenuItem.GetState() const
00:00:00.000.038.800 M   <System.Windows.MenuItem.GetState() const
00:00:00.000.038.800 M   >System.Windows.Component.NextSibling() const
00:00:00.000.038.900 M   <System.Windows.Component.NextSibling() const
00:00:00.000.039.100 M   >System.Windows.MenuItem.GetState() const
00:00:00.000.039.100 M   <System.Windows.MenuItem.GetState() const
00:00:00.000.039.200 M   >System.Windows.Component.NextSibling() const
00:00:00.000.039.200 M   <System.Windows.Component.NextSibling() const
00:00:00.000.039.400 M   >System.Windows.MenuItem.GetState() const
00:00:00.000.039.500 M   <System.Windows.MenuItem.GetState() const
00:00:00.000.039.600 M   >System.Windows.Component.NextSibling() const
00:00:00.000.039.600 M   <System.Windows.Component.NextSibling() const
00:00:00.000.039.800 M   >System.Windows.MenuItem.GetState() const
00:00:00.000.040.600 M   <System.Windows.MenuItem.GetState() const
00:00:00.000.040.700 M   >System.Windows.Component.NextSibling() const
00:00:00.000.040.700 M   <System.Windows.Component.NextSibling() const
00:00:00.000.040.900 M   >System.Windows.MenuItem.GetState() const
00:00:00.000.040.900 M   <System.Windows.MenuItem.GetState() const
00:00:00.000.041.000 M   >System.Windows.Component.NextSibling() const
00:00:00.000.041.100 M   <System.Windows.Component.NextSibling() const
00:00:00.000.041.300 M   >System.Windows.MenuItem.GetState() const
00:00:00.000.041.400 M   <System.Windows.MenuItem.GetState() const
00:00:00.000.041.500 M   >System.Windows.Component.NextSibling() const
00:00:00.000.041.500 M   <System.Windows.Component.NextSibling() const
