00:00:00.000.001.900 M >System.Windows.MenuItem.SetText(const String<char>&, MenuControl*)
00:00:00.000.003.800 M  >System.Windows.MenuItem.SetAccessKey()
00:00:00.000.008.700 M   >System.Unicode.CharacterTable.Instance()
00:00:00.000.009.100 M   <System.Unicode.CharacterTable.Instance()
00:00:00.000.009.400 M   >System.Unicode.CharacterTable.GetCharacterInfo(uchar)
00:00:00.000.010.300 M    >System.Unicode.CharacterInfoPage.operator[](long) const
00:00:00.000.010.700 M    <System.Unicode.CharacterInfoPage.operator[](long) const
00:00:00.000.011.200 M   <System.Unicode.CharacterTable.GetCharacterInfo(uchar)
00:00:00.000.011.400 M   >System.Unicode.CharacterInfo.Upper() const
00:00:00.000.011.700 M   <System.Unicode.CharacterInfo.Upper() const
00:00:00.000.012.500 M  <System.Windows.MenuItem.SetAccessKey()
00:00:00.000.012.800 M  >System.Windows.MenuBar.InvalidateMenu()
00:00:00.000.012.900 M   >System.Windows.Control.Invalidate()
00:00:00.000.019.300 M   <System.Windows.Control.Invalidate()
00:00:00.000.020.600 M   >System.Windows.Point.Point()
00:00:00.000.020.600 M   <System.Windows.Point.Point()
00:00:00.000.020.700 M   >System.Windows.Size.Size()
00:00:00.000.020.800 M   <System.Windows.Size.Size()
00:00:00.000.020.800 M   >System.Windows.Rect.Rect()
00:00:00.000.020.900 M   <System.Windows.Rect.Rect()
00:00:00.000.021.500 M   >System.Windows.Container.FirstChild() const
00:00:00.000.021.600 M   <System.Windows.Container.FirstChild() const
00:00:00.000.021.900 M   >System.Windows.MenuItem.GetState() const
00:00:00.000.022.100 M   <System.Windows.MenuItem.GetState() const
00:00:00.000.022.100 M   >System.Windows.Component.NextSibling() const
00:00:00.000.022.200 M   <System.Windows.Component.NextSibling() const
00:00:00.000.022.400 M   >System.Windows.MenuItem.GetState() const
00:00:00.000.022.500 M   <System.Windows.MenuItem.GetState() const
00:00:00.000.022.600 M   >System.Windows.Component.NextSibling() const
00:00:00.000.023.400 M   <System.Windows.Component.NextSibling() const
00:00:00.000.023.600 M   >System.Windows.MenuItem.GetState() const
00:00:00.000.023.700 M   <System.Windows.MenuItem.GetState() const
